name	race	background	date	class	justClass	subclass	level	feats	HP	AC	Str	Dex	Con	Int	Wis	Cha	alignment	skills	weapons	spells	day	processedAlignment	good	lawful	processedRace	processedSpells	processedWeapons	levelGroup	alias
9f3a61	Human	Charlatan	2018-07-27T23:53:51Z	Warlock 1	Warlock	The Fiend	1	Lucky	8	12	10	13	16	8	10	16	CN	Sleight of Hand|Insight|Perception|Deception|Intimidation	Crossbow, light|Eldritch Blast PHB237|Burning Hands PHB220|Dagger	Eldritch blast*0|Minor illusion*0|Hex*1|Burning hands*1	07 27 18	CN	N	C	Human	Eldritch Blast*0|Minor Illusion*0|Hex*1|Burning Hands*1	Crossbow, Light|Dagger	1-3	clever_einstein
9f3a61	Human	Custom	2018-07-27T17:07:02Z	Warlock 1	Warlock	The Fiend	1	Lucky	8	12	10	13	16	8	10	16	CN	Insight|Deception|Intimidation	Crossbow, light|Eldritch Blast PHB237|Burning Hands PHB 220|Dagger	Eldritch blast*0|Minor illusion*0|Hex*1|Burning hands*1	07 27 18	CN	N	C	Human	Eldritch Blast*0|Minor Illusion*0|Hex*1|Burning Hands*1	Crossbow, Light|Dagger	1-3	clever_einstein
7a2bfc	Kenku	Criminal	2018-05-27T20:14:52Z	Warlock 3	Warlock	The Celestial	3		13	13	8	15	10	14	13	15		Sleight of Hand|Stealth|Arcana|Religion|Deception	Crossbow, Light|Dagger	Light*0|Sacred Flame*0|Eldritch Blast*0|Agonizing Blast (ELDRITCH INVOCATION)*0|Mask Of Many Faces (ELDRITCH INVOCATION)*0|Prestidigitation*0|Guidance (Pact of the Tome)*0|True Strike (Pact of the Tome)*0|Mage Hand (Pact of the Tome)*0|Cure Wounds*1|Guiding Bolt*1|Hellish Rebuke*1|Protection from Evil and Good*1|Lesser Restoration*2|Flaming Sphere*2|Mirror Image*2|Misty Step*2	05 27 18		NA	NA	Kenku	Light*0|Sacred Flame*0|Eldritch Blast*0|Eldritch Blast*0|Prestidigitation*0|Guidance*0|True Strike*0|Mage Hand*0|Cure Wounds*1|Guiding Bolt*1|Hellish Rebuke*1|Protection from Evil and Good*1|Lesser Restoration*2|Flaming Sphere*2|Mirror Image*2|Misty Step*2	Crossbow, Light|Dagger	1-3	blissful_goodall
aa8854	High Elf	Criminal	2018-08-04T15:45:17Z	Wizard 1	Wizard		1		7	13	10	16	13	16	12	8		Stealth|Arcana|Investigation|Perception|Deception	Quarterstaff		08 04 18		NA	NA	Elf		Quarterstaff	1-3	agitated_lewin
5afab6	Protector Aasimar	Outlander	2018-11-24T17:16:37Z	Ranger 1	Ranger		1		9	14	8	16	8	14	17	20	LG	Athletics|Stealth|Nature|Animal Handling|Survival	Shortsword|Longbow|Shortsword Of Warning	Light*0	11 24 18	LG	G	L	Aasimar	Light*0	Shortsword|Longbow	1-3	jolly_tharp
e2c0de	Minotaur	Soldier	2018-12-31T22:47:26Z	Barbarian 3|Fighter 2	Barbarian|Fighter	Path of the Ancestral Guardian|	5		67	17	19	14	17	8	10	10	Neutral 	Athletics|Perception|Survival|Intimidation	Greataxe|Handaxe|Javelin|Morningstar		12 31 18	NN	N	N	Minotaur		Greataxe|Handaxe|Javelin|Morningstar	4-7	confident_cori
122838	Dark Elf	Charlatan	2019-01-06T20:20:14Z	Rogue 2	Rogue		2		24	15	8	16	10	13	12	16	Neutral	Sleight of Hand|Stealth|Investigation|Insight|Perception|Deception|Persuasion	Hand Crossbow|Shortsword|Dagger	Mage Hand*0|Fire Bolt*0|Chill Touch*0|Dancing Lights*0|Chromatic Orb*1|Sleep*1|Color Spray*1|Faerie Fire*1	01 06 19	NN	N	N	Elf	Mage Hand*0|Fire Bolt*0|Chill Touch*0|Dancing Lights*0|Chromatic Orb*1|Sleep*1|Color Spray*1|Faerie Fire*1	Shortsword|Dagger	1-3	condescending_tereshkova
81fa23	Wood Elf	Outlander	2019-01-06T20:52:26Z	Ranger 5	Ranger	Beast Master	5		41	16	10	18	13	11	17	12	Neutral Good	Athletics|Stealth|Nature|Animal Handling|Perception|Survival|Persuasion	Shortsword|Longbow|Handaxe|Dagger	Hunters Mark*1|Hail Of Thorns*1|Cure Wounds*1|Ensnaring Strike*1|Barkskin*2|Spike Growth*2	01 06 19	NG	G	N	Elf	Hunter’s Mark*1|Hail of Thorns*1|Cure Wounds*1|Ensnaring Strike*1|Barkskin*2|Spike Growth*2	Shortsword|Longbow|Handaxe|Dagger	4-7	zen_volhard
e2c0de	Minotaur	Soldier	2019-01-06T20:54:14Z	Barbarian 3|Fighter 2	Barbarian|Fighter	Path of the Ancestral Guardian|	5		67	17	19	14	17	8	10	10	Neutral 	Athletics|Perception|Survival|Intimidation	Greataxe|Handaxe|Javelin|Morningstar		01 06 19	NN	N	N	Minotaur		Greataxe|Handaxe|Javelin|Morningstar	4-7	confident_cori
26410c	Firbolg	Folk Hero	2018-07-26T03:31:17Z	Cleric 4	Cleric	Trickery Domain	4	Inspiring Leader	42	16	16	11	18	13	18	14		History|Animal Handling|Insight|Survival	Mace|Crossbow, light	Charm Person*1|Disguise Self*1|Mirror Image*2|Pass Without Trace*2	07 25 18		NA	NA	Firbolg	Charm Person*1|Disguise Self*1|Mirror Image*2|Pass Without Trace*2	Mace|Crossbow, Light	4-7	modest_mestorf
