ip	finger	hash	name	race	background	date	class	justClass	subclass	level	feats	HP	AC	Str	Dex	Con	Int	Wis	Cha	alignment	skills	weapons	spells	castingStat	choices	country	countryCode	processedAlignment	good	lawful	processedRace	processedSpells	processedWeapons	levelGroup	alias
55bc415	c64ef39	c0d58fc89fc88ef2ff34f55208da70cd	fdf8b41	Dark Elf	Outlander	2019-08-03T17:09:06Z	Cleric 20	Cleric	Life Domain	20	Magic Initiate|War Caster	123	18	10	12	12	12	20	15	Chaotic Good	Athletics|Religion|Insight|Perception|Survival	Mace|Longsword|Crossbow, hand	Dancing Lights (CHA)*0|Guidance*0|Sacred Flame*0|Spare The Dying*0|Resistance*0|Fire Bolt*0|Poison Spray *0|Mending*0|+Bless*1|+Cure Wounds*1|Faerie Fire (CHA)*1|Purify Food And Drink*1|Create Or Destroy Water*1|Healing Word*1|Detect Magic*1|Shield Of Faith*1|Find Familiar*1|+Lesser Restoration*2|+Spiritual Weapon*2|Darkness (CHA)*2|Prayer Of Healing*2|Warding Bond*2|Hold Person*2|Silence*2|+Beacon of Hope*3|+Revivify*3|Spirit Guardians*3|Create Food and Water*3|Mass Healing Word*3|Remove Curse*3|Daylight*3|+Death Ward*4|+Guardian of Faith*4|Banishment*4|+Mass Cure Wounds*5|+Raise Dead*5|Greater Restoration*5|Mass Cure Wounds*5|Flame Strike*5|Raise Dead*5|Planar Ally*6|Forbiddance*6|Divine Word*7|Fire Storm*7|Holy Aura*8|Mass Heal*9	Wis		United States	US	CG	NA	NA	Elf	Dancing Lights*0|Guidance*0|Sacred Flame*0|Spare the Dying*0|Resistance*0|Fire Bolt*0|Poison Spray*0|Mending*0|Bless*1|Cure Wounds*1|Faerie Fire*1|Purify Food and Drink*1|Create or Destroy Water*1|Healing Word*1|Detect Magic*1|Shield of Faith*1|Find Familiar*1|Lesser Restoration*2|Spiritual Weapon*2|Darkness*2|Prayer of Healing*2|Warding Bond*2|Hold Person*2|Silence*2|Beacon of Hope*3|Revivify*3|Spirit Guardians*3|Create Food and Water*3|Mass Healing Word*3|Remove Curse*3|Daylight*3|Death Ward*4|Guardian of Faith*4|Banishment*4|Mass Cure Wounds*5|Raise Dead*5|Greater Restoration*5|Mass Cure Wounds*5|Flame Strike*5|Raise Dead*5|Planar Ally*6|Forbiddance*6|Divine Word*7|Fire Storm*7|Holy Aura*8|Mass Heal*9	Mace|Longsword|Crossbow, hand	19-20	heuristic_almeida
14ed647	e0a982a	0adcf58c0c51a97dc3972c2d096b9d2f	0de4921	Human	Folk Hero	2019-07-14T18:06:03Z	Fighter 20	Fighter	Champion	20	Defensive Duelist	224	15	16	20	20	11	13	10		History|Animal Handling|Perception|Survival	Longbow|Scimitar|Scimitar|Handaxe		Int	fighting style/Archery*Two-Weapon Fighting	United States	US		NA	NA	Human		Longbow|Scimitar|Scimitar|Handaxe	19-20	priceless_nobel
b5463cd	59becb5	e3368e31b1288aeda5c024338b2997e1	af02e09	Human	Sage	2019-06-12T15:55:09Z	Wizard 20	Wizard	School of Divination	20	War Caster	182	11	8	12	20	20	14	10		Arcana|History|Investigation|Religion|Perception	Quarterstaff		Int		Germany	DE		NA	NA	Human		Quarterstaff	19-20	friendly_lovelace
e759d65	d0e22ce	4908e61054756710fd827eac244a9b36	568bf99	Kenku	Clan Crafter	2019-06-11T00:36:19Z	Warlock 20	Warlock	The Great Old One	20	Actor|War Caster	220	16	12	20	16	14	14	21		Stealth|Arcana|History|Religion|Insight|Deception	Crossbow, light|Dagger|Dagger		Cha	pact boon/Pact of the Tome|eldritch invocations/Mask of Many Faces*Eyes of the Rune Keeper*Agonizing Blast*Book of Ancient Secrets*Bewitching Whispers*Maddening Hex*Shroud of Shadow*Witch Sight	United States	US		NA	NA	Kenku		Crossbow, Light|Dagger|Dagger	19-20	dazzling_vaughan
ca47b89	f520f3c	0cc7862a43a5cd17afb56a21bd3cec33	da6be94	Orc	Soldier	2019-06-09T00:21:09Z	Fighter 20	Fighter	Champion	20	Polearm Master|Sentinel	228	19	20	15	20	6	12	10		Athletics|Insight|Perception|Intimidation	Flame Tongue Glaive		Int	fighting style/Great Weapon Fighting*Defense	United States	US		NA	NA	Orc		Glaive	19-20	quizzical_ellis
08e8a94	992e0a9	2609ac82c4d507e181f1c14bf7f96a1c	30eee23	Orc	Noble	2019-04-22T15:35:13Z	Paladin 20	Paladin	Oath of Conquest	20	Great Weapon Master|Sentinel	224	20	20	13	20	10	12	14		Athletics|History|Insight|Intimidation|Persuasion	Javelin|Greatsword	Armor of Agathys*1|Command*1|Hold Person*2|Spiritual Weapon*2|Bestow Curse*3|Fear*3|Blight*4|Dominate Beast*4|Dominate Person*5|Insect Plague*5	Cha	fighting style/Dueling	United States	US		NA	NA	Orc	Armor of Agathys*1|Command*1|Hold Person*2|Spiritual Weapon*2|Bestow Curse*3|Fear*3|Blight*4|Dominate Beast*4|Dominate Person*5|Insect Plague*5	Javelin|Greatsword	19-20	magical_khayyam
29aed69	01f1304	f1307eacbf19cae54d3fb66d34d4255c	ea8dd7d	Dragonborn	Soldier	2019-04-21T23:08:53Z	Paladin 20	Paladin	Oath of Conquest	20	Tough	224	18	20	8	16	8	8	20		Athletics|Religion|Intimidation|Persuasion	Battleaxe|Javelin	Armor of Frost*1|Command*1|Hold Person*2|Spiritual Weapon*2|Bestow Curse*3|Fear*3|Dominate Beast*4|Stoneskin*4|Cloudkill*5|Dominate Person*5	Cha	fighting style/Dueling	Brazil	BR		NA	NA	Dragonborn	*|Command*1|Hold Person*2|Spiritual Weapon*2|Bestow Curse*3|Fear*3|Dominate Beast*4|Stoneskin*4|Cloudkill*5|Dominate Person*5	Battleaxe|Javelin	19-20	wonderful_bose
f1a8ef7	64c0dcb	f88fbe26ac18b72f3230b38c55e588c7	9179fbc	Aarakocra	Acolyte	2019-04-11T03:02:54Z	Barbarian 20	Barbarian	Path of the Battlerager	20	Tough|Grappler|Polearm Master|Sentinel	1105	66	103	101	103	99	100	99		Nature|Religion|Insight|Intimidation	Greataxe|Handaxe|Javelin		Int		New Zealand	NZ		NA	NA	Aarakocra		Greataxe|Handaxe|Javelin	19-20	keen_jones
f1a8ef7	07e40e1	4a8189ee387b970b719448d779a8b764	23c474b	Minotaur	Cloistered Scholar	2019-04-11T02:06:55Z	Wizard 20	Wizard	School of Evocation	20	War Caster	182	12	14	14	20	20	14	13		Arcana|History|Investigation|Medicine|Persuasion	Quarterstaff		Int		New Zealand	NZ		NA	NA	Minotaur		Quarterstaff	19-20	sharp_almeida
f1a8ef7	07e40e1	563a28c03d3274c679f7e91a6b8a8cf4	9837fc6	Orc	Urchin	2019-04-10T04:49:29Z	Barbarian 20	Barbarian	Path of the Storm Herald	20		285	22	24	20	24	8	16	12		Sleight of Hand|Stealth|Intimidation	Greataxe|Handaxe|Javelin		Int		New Zealand	NZ		NA	NA	Orc		Greataxe|Handaxe|Javelin	19-20	wizardly_antonelli
